Packet Number,Time,Battery Voltage,Altitude,Temperature,Humidity,Lux,State,alt_th
122,3445,3.583726,65504,21,38,857,3,234
123,3446,3.467452,65504,21,39,848,3,234
124,3447,3.583726,65504,21,39,858,3,234
125,3448,3.442536,65504,21,39,829,3,234
126,3449,3.484063,65505,21,39,846,3,234
127,3450,3.542200,65503,21,39,827,3,234
128,3451,3.538047,65503,21,39,829,3,234
129,3452,3.529742,65503,21,39,834,3,234
130,3454,3.579574,65503,21,39,842,3,234
131,3455,3.500673,65504,21,39,843,3,234
132,3456,3.533895,65504,21,39,829,3,234
133,3457,3.529742,65504,21,39,846,3,234
134,3458,3.484063,65505,21,39,844,3,234
135,3459,3.450842,65503,21,39,849,3,234
136,3461,3.550505,65504,21,39,830,3,234
137,3463,3.533895,65505,21,39,849,3,234
138,3464,3.500673,65504,21,40,857,3,234
139,3465,3.454994,65504,21,40,849,3,234
140,3466,3.467452,65504,21,40,848,3,234
141,3467,3.529742,65504,21,40,845,3,234
142,3468,3.546352,65505,21,40,846,3,234
143,3470,3.529742,65504,21,40,849,3,234
144,3471,3.567116,65505,21,40,832,3,234
145,3472,3.459147,65505,21,40,847,3,234
146,3473,3.546352,65504,21,40,848,3,234
147,3474,3.533895,65504,21,40,837,3,234
148,3475,3.546352,65505,21,40,856,3,234
149,3476,3.558810,65504,21,40,846,3,234
150,3477,3.533895,65505,21,41,837,3,234
151,3479,3.496521,65505,21,41,846,3,234
152,3480,3.575421,65505,21,41,856,3,234
153,3481,3.538047,65504,21,41,845,3,234
154,3482,3.538047,65504,21,41,847,3,234
155,3483,3.575421,65503,21,41,846,3,234
156,3484,3.488215,65504,21,41,852,3,234
157,3486,3.529742,65504,21,41,846,3,234
158,3487,3.525589,65503,21,41,829,3,234
159,3488,3.562963,65503,21,41,845,3,234
160,3489,3.542200,65504,21,41,856,3,234
161,3490,3.533895,65505,21,41,844,3,234
162,3491,3.533895,65504,21,41,849,3,234
163,3492,3.529742,65504,21,41,843,3,234
164,3493,3.521437,65504,21,41,844,3,234
165,3495,3.454994,65504,21,41,851,3,234
166,3496,3.529742,65505,21,41,826,3,234
167,3497,3.475758,65505,21,41,826,3,234
168,3498,3.571268,65505,21,41,844,3,234
169,3499,3.521437,65504,21,41,833,3,234
170,3500,3.508979,65506,21,41,853,3,234
171,3501,3.554658,65506,21,41,856,3,234
172,3502,3.521437,65505,20,41,844,3,234
173,3504,3.562963,65505,20,41,841,3,234
174,3505,3.446689,65504,20,41,844,3,234
175,3506,3.475758,65505,20,41,853,3,234
176,3507,3.538047,65504,20,41,852,3,234
177,3508,3.538047,65503,20,41,848,3,234
178,3509,3.521437,65503,20,41,825,3,234
179,3511,3.521437,65504,20,41,844,3,234
180,3512,3.521437,65504,20,41,848,3,234
181,3513,3.525589,65503,20,41,838,3,234
182,3514,3.529742,65503,20,41,829,3,234
183,3515,3.546352,65504,20,41,851,3,234
184,3516,3.529742,65504,20,41,848,3,234
185,3517,3.567116,65503,20,41,853,3,234
186,3518,3.521437,65504,20,41,837,3,234
